#TGICL_NAME	CONTIG_NAME
CL1410Contig1	HCGP-CT-CO_00533
CL1411Contig1	HCGP-CT-CO_00534
CL1412Contig1	HCGP-CT-CO_00535
CL1413Contig1	HCGP-CT-CO_00536
CL1414Contig1	HCGP-CT-CO_00537
CL1415Contig1	HCGP-CT-CO_00538
CL1416Contig1	HCGP-CT-CO_00539
CL1417Contig1	HCGP-CT-CO_00540
CL1418Contig1	HCGP-CT-CO_00541
CL1419Contig1	HCGP-CT-CO_00542
CL141Contig1	HCGP-CT-CO_00543
CL1420Contig1	HCGP-CT-CO_00544
CL1421Contig1	HCGP-CT-CO_00545
CL1422Contig1	HCGP-CT-CO_00546
CL1423Contig1	HCGP-CT-CO_00547
CL1424Contig1	HCGP-CT-CO_00548
CL1425Contig1	HCGP-CT-CO_00549
CL1426Contig1	HCGP-CT-CO_00550
CL1427Contig1	HCGP-CT-CO_00551
CL1428Contig1	HCGP-CT-CO_00552
CL1429Contig1	HCGP-CT-CO_00553
CL142Contig1	HCGP-CT-CO_00554
CL142Contig2	HCGP-CT-CO_00555
CL1430Contig1	HCGP-CT-CO_00556
CL1431Contig1	HCGP-CT-CO_00557
CL1432Contig1	HCGP-CT-CO_00558
CL1433Contig1	HCGP-CT-CO_00559
CL1434Contig1	HCGP-CT-CO_00560
CL1435Contig1	HCGP-CT-CO_00561
CL1436Contig1	HCGP-CT-CO_00562
CL1437Contig1	HCGP-CT-CO_00563
CL1438Contig1	HCGP-CT-CO_00564
CL1439Contig1	HCGP-CT-CO_00565
CL143Contig2	HCGP-CT-CO_00566
CL1440Contig1	HCGP-CT-CO_00567
CL1441Contig1	HCGP-CT-CO_00568
CL1442Contig1	HCGP-CT-CO_00569
CL1443Contig1	HCGP-CT-CO_00570
CL1444Contig1	HCGP-CT-CO_00571
CL1445Contig1	HCGP-CT-CO_00572
CL1446Contig1	HCGP-CT-CO_00573
CL1446Contig2	HCGP-CT-CO_00574
CL1447Contig1	HCGP-CT-CO_00575
CL1448Contig1	HCGP-CT-CO_00576
CL1449Contig1	HCGP-CT-CO_00577
CL144Contig1	HCGP-CT-CO_00578
CL1450Contig1	HCGP-CT-CO_00579
CL1451Contig1	HCGP-CT-CO_00580
CL1452Contig1	HCGP-CT-CO_00581
CL1453Contig1	HCGP-CT-CO_00582
CL1454Contig1	HCGP-CT-CO_00583
CL1455Contig1	HCGP-CT-CO_00584
CL1456Contig1	HCGP-CT-CO_00585
CL1457Contig1	HCGP-CT-CO_00586
CL1458Contig1	HCGP-CT-CO_00587
CL1459Contig1	HCGP-CT-CO_00588
CL145Contig1	HCGP-CT-CO_00589
CL145Contig2	HCGP-CT-CO_00590
CL1460Contig1	HCGP-CT-CO_00591
CL1461Contig1	HCGP-CT-CO_00592
CL1462Contig1	HCGP-CT-CO_00593
CL1463Contig1	HCGP-CT-CO_00594
CL1464Contig1	HCGP-CT-CO_00595
CL1465Contig1	HCGP-CT-CO_00596
CL1466Contig1	HCGP-CT-CO_00597
CL1467Contig1	HCGP-CT-CO_00598
CL1468Contig1	HCGP-CT-CO_00599
CL1469Contig1	HCGP-CT-CO_00600
CL146Contig1	HCGP-CT-CO_00601
CL1470Contig1	HCGP-CT-CO_00602
CL1471Contig1	HCGP-CT-CO_00603
CL1472Contig1	HCGP-CT-CO_00604
CL1472Contig2	HCGP-CT-CO_00605
CL1473Contig1	HCGP-CT-CO_00606
CL1474Contig1	HCGP-CT-CO_00607
CL1475Contig1	HCGP-CT-CO_00608
