#TGICL_NAME	CONTIG_NAME
CL425Contig1	HCGP-HN-CO_00495
CL426Contig1	HCGP-HN-CO_00496
CL427Contig1	HCGP-HN-CO_00497
CL428Contig1	HCGP-HN-CO_00498
CL429Contig1	HCGP-HN-CO_00499
CL42Contig1	HCGP-HN-CO_00500
CL42Contig2	HCGP-HN-CO_00501
CL430Contig1	HCGP-HN-CO_00502
CL431Contig1	HCGP-HN-CO_00503
CL432Contig1	HCGP-HN-CO_00504
CL433Contig1	HCGP-HN-CO_00505
CL434Contig1	HCGP-HN-CO_00506
CL435Contig1	HCGP-HN-CO_00507
CL436Contig1	HCGP-HN-CO_00508
CL437Contig1	HCGP-HN-CO_00509
CL438Contig1	HCGP-HN-CO_00510
CL439Contig1	HCGP-HN-CO_00511
CL43Contig1	HCGP-HN-CO_00512
CL43Contig2	HCGP-HN-CO_00513
CL440Contig1	HCGP-HN-CO_00514
CL441Contig1	HCGP-HN-CO_00515
CL442Contig1	HCGP-HN-CO_00516
CL443Contig1	HCGP-HN-CO_00517
CL444Contig1	HCGP-HN-CO_00518
CL445Contig1	HCGP-HN-CO_00519
CL446Contig1	HCGP-HN-CO_00520
CL447Contig1	HCGP-HN-CO_00521
CL448Contig1	HCGP-HN-CO_00522
CL449Contig1	HCGP-HN-CO_00523
CL44Contig1	HCGP-HN-CO_00524
CL44Contig2	HCGP-HN-CO_00525
CL450Contig1	HCGP-HN-CO_00526
CL451Contig1	HCGP-HN-CO_00527
CL452Contig1	HCGP-HN-CO_00528
CL453Contig1	HCGP-HN-CO_00529
CL455Contig1	HCGP-HN-CO_00530
CL456Contig1	HCGP-HN-CO_00531
CL457Contig1	HCGP-HN-CO_00532
CL458Contig1	HCGP-HN-CO_00533
CL459Contig1	HCGP-HN-CO_00534
CL45Contig1	HCGP-HN-CO_00535
CL45Contig2	HCGP-HN-CO_00536
CL460Contig1	HCGP-HN-CO_00537
CL461Contig1	HCGP-HN-CO_00538
CL462Contig1	HCGP-HN-CO_00539
CL463Contig1	HCGP-HN-CO_00540
CL464Contig1	HCGP-HN-CO_00541
CL465Contig1	HCGP-HN-CO_00542
CL466Contig1	HCGP-HN-CO_00543
CL467Contig1	HCGP-HN-CO_00544
CL468Contig1	HCGP-HN-CO_00545
CL469Contig1	HCGP-HN-CO_00546
CL46Contig1	HCGP-HN-CO_00547
