#TGICL_NAME	CONTIG_NAME
CL1356Contig1	HCGP-NN-CO_00422
CL1356Contig2	HCGP-NN-CO_00423
CL1357Contig1	HCGP-NN-CO_00424
CL1358Contig1	HCGP-NN-CO_00425
CL1359Contig1	HCGP-NN-CO_00426
CL135Contig1	HCGP-NN-CO_00427
CL1360Contig1	HCGP-NN-CO_00428
CL1361Contig1	HCGP-NN-CO_00429
CL1362Contig1	HCGP-NN-CO_00430
CL1363Contig1	HCGP-NN-CO_00431
CL1364Contig1	HCGP-NN-CO_00432
CL1366Contig1	HCGP-NN-CO_00433
CL1367Contig1	HCGP-NN-CO_00434
CL1368Contig1	HCGP-NN-CO_00435
CL1369Contig1	HCGP-NN-CO_00436
CL136Contig1	HCGP-NN-CO_00437
CL1370Contig1	HCGP-NN-CO_00438
CL1371Contig1	HCGP-NN-CO_00439
CL1372Contig1	HCGP-NN-CO_00440
CL1373Contig1	HCGP-NN-CO_00441
CL1374Contig1	HCGP-NN-CO_00442
CL1375Contig1	HCGP-NN-CO_00443
CL1376Contig1	HCGP-NN-CO_00444
CL1377Contig1	HCGP-NN-CO_00445
CL1378Contig1	HCGP-NN-CO_00446
CL137Contig1	HCGP-NN-CO_00447
CL1380Contig1	HCGP-NN-CO_00448
CL1380Contig2	HCGP-NN-CO_00449
CL1381Contig1	HCGP-NN-CO_00450
CL1382Contig1	HCGP-NN-CO_00451
CL1383Contig1	HCGP-NN-CO_00452
CL1384Contig1	HCGP-NN-CO_00453
CL1385Contig1	HCGP-NN-CO_00454
CL1386Contig1	HCGP-NN-CO_00455
CL1387Contig1	HCGP-NN-CO_00456
CL1388Contig1	HCGP-NN-CO_00457
CL1389Contig1	HCGP-NN-CO_00458
CL138Contig1	HCGP-NN-CO_00459
CL1390Contig1	HCGP-NN-CO_00460
CL1391Contig1	HCGP-NN-CO_00461
CL1392Contig1	HCGP-NN-CO_00462
CL1394Contig1	HCGP-NN-CO_00463
CL1395Contig1	HCGP-NN-CO_00464
CL1396Contig1	HCGP-NN-CO_00465
CL1397Contig1	HCGP-NN-CO_00466
CL1398Contig1	HCGP-NN-CO_00467
CL1399Contig1	HCGP-NN-CO_00468
CL139Contig1	HCGP-NN-CO_00469
CL13Contig1	HCGP-NN-CO_00470
CL13Contig2	HCGP-NN-CO_00471
CL13Contig4	HCGP-NN-CO_00472
CL13Contig5	HCGP-NN-CO_00473
CL13Contig6	HCGP-NN-CO_00474
CL1400Contig1	HCGP-NN-CO_00475
CL1401Contig1	HCGP-NN-CO_00476
CL1402Contig1	HCGP-NN-CO_00477
CL1403Contig1	HCGP-NN-CO_00478
CL1404Contig1	HCGP-NN-CO_00479
CL1404Contig2	HCGP-NN-CO_00480
CL1405Contig1	HCGP-NN-CO_00481
CL1406Contig1	HCGP-NN-CO_00482
CL1407Contig1	HCGP-NN-CO_00483
CL1409Contig1	HCGP-NN-CO_00484
CL140Contig1	HCGP-NN-CO_00485
CL140Contig2	HCGP-NN-CO_00486
CL140Contig3	HCGP-NN-CO_00487
CL140Contig4	HCGP-NN-CO_00488
CL1410Contig1	HCGP-NN-CO_00489
CL1411Contig1	HCGP-NN-CO_00490
CL1412Contig1	HCGP-NN-CO_00491
CL1413Contig1	HCGP-NN-CO_00492
CL1413Contig2	HCGP-NN-CO_00493
CL1414Contig1	HCGP-NN-CO_00494
CL1415Contig1	HCGP-NN-CO_00495
CL1415Contig2	HCGP-NN-CO_00496
CL1416Contig1	HCGP-NN-CO_00497
CL1417Contig1	HCGP-NN-CO_00498
CL1418Contig1	HCGP-NN-CO_00499
CL1419Contig1	HCGP-NN-CO_00500
CL141Contig1	HCGP-NN-CO_00501
CL1420Contig1	HCGP-NN-CO_00502
CL1421Contig1	HCGP-NN-CO_00503
CL1423Contig1	HCGP-NN-CO_00504
CL1424Contig1	HCGP-NN-CO_00505
CL1424Contig2	HCGP-NN-CO_00506
CL1425Contig1	HCGP-NN-CO_00507
CL1426Contig1	HCGP-NN-CO_00508
CL1427Contig1	HCGP-NN-CO_00509
CL1428Contig1	HCGP-NN-CO_00510
CL1429Contig1	HCGP-NN-CO_00511
CL1429Contig2	HCGP-NN-CO_00512
CL142Contig1	HCGP-NN-CO_00513
CL1430Contig1	HCGP-NN-CO_00514
CL1431Contig1	HCGP-NN-CO_00515
CL1432Contig1	HCGP-NN-CO_00516
CL1433Contig1	HCGP-NN-CO_00517
CL1434Contig1	HCGP-NN-CO_00518
CL1435Contig1	HCGP-NN-CO_00519
CL1436Contig1	HCGP-NN-CO_00520
CL1437Contig1	HCGP-NN-CO_00521
CL1438Contig1	HCGP-NN-CO_00522
CL1439Contig1	HCGP-NN-CO_00523
CL143Contig1	HCGP-NN-CO_00524
CL1440Contig1	HCGP-NN-CO_00525
CL1441Contig1	HCGP-NN-CO_00526
CL1442Contig1	HCGP-NN-CO_00527
CL1443Contig1	HCGP-NN-CO_00528
CL1444Contig1	HCGP-NN-CO_00529
CL1445Contig1	HCGP-NN-CO_00530
CL1446Contig1	HCGP-NN-CO_00531
CL1447Contig1	HCGP-NN-CO_00532
CL1448Contig1	HCGP-NN-CO_00533
CL1449Contig1	HCGP-NN-CO_00534
CL1449Contig2	HCGP-NN-CO_00535
CL144Contig1	HCGP-NN-CO_00536
CL1450Contig1	HCGP-NN-CO_00537
CL1451Contig1	HCGP-NN-CO_00538
CL1451Contig2	HCGP-NN-CO_00539
CL1452Contig1	HCGP-NN-CO_00540
CL1453Contig1	HCGP-NN-CO_00541
CL1454Contig1	HCGP-NN-CO_00542
CL1455Contig1	HCGP-NN-CO_00543
CL1456Contig1	HCGP-NN-CO_00544
CL1457Contig1	HCGP-NN-CO_00545
CL1458Contig1	HCGP-NN-CO_00546
CL1459Contig1	HCGP-NN-CO_00547
CL145Contig1	HCGP-NN-CO_00548
CL1460Contig1	HCGP-NN-CO_00549
CL1461Contig1	HCGP-NN-CO_00550
CL1462Contig1	HCGP-NN-CO_00551
CL1463Contig1	HCGP-NN-CO_00552
CL1464Contig1	HCGP-NN-CO_00553
CL1465Contig1	HCGP-NN-CO_00554
CL1466Contig1	HCGP-NN-CO_00555
CL1468Contig1	HCGP-NN-CO_00556
CL1469Contig1	HCGP-NN-CO_00557
CL1470Contig1	HCGP-NN-CO_00558
CL1471Contig1	HCGP-NN-CO_00559
CL1472Contig1	HCGP-NN-CO_00560
CL1473Contig1	HCGP-NN-CO_00561
CL1475Contig1	HCGP-NN-CO_00562
CL1476Contig1	HCGP-NN-CO_00563
CL1477Contig1	HCGP-NN-CO_00564
CL1478Contig1	HCGP-NN-CO_00565
CL1479Contig1	HCGP-NN-CO_00566
CL147Contig1	HCGP-NN-CO_00567
CL1480Contig1	HCGP-NN-CO_00568
CL1480Contig2	HCGP-NN-CO_00569
CL1481Contig1	HCGP-NN-CO_00570
CL1482Contig1	HCGP-NN-CO_00571
CL1483Contig1	HCGP-NN-CO_00572
CL1484Contig1	HCGP-NN-CO_00573
CL1485Contig1	HCGP-NN-CO_00574
CL1486Contig1	HCGP-NN-CO_00575
CL1487Contig1	HCGP-NN-CO_00576
CL1488Contig1	HCGP-NN-CO_00577
CL1489Contig1	HCGP-NN-CO_00578
CL148Contig1	HCGP-NN-CO_00579
CL1490Contig1	HCGP-NN-CO_00580
CL1491Contig1	HCGP-NN-CO_00581
CL1492Contig1	HCGP-NN-CO_00582
CL1493Contig1	HCGP-NN-CO_00583
CL1495Contig1	HCGP-NN-CO_00584
CL1496Contig1	HCGP-NN-CO_00585
CL1497Contig1	HCGP-NN-CO_00586
CL1498Contig1	HCGP-NN-CO_00587
CL1499Contig1	HCGP-NN-CO_00588
CL149Contig1	HCGP-NN-CO_00589
CL14Contig1	HCGP-NN-CO_00590
CL14Contig2	HCGP-NN-CO_00591
CL1500Contig1	HCGP-NN-CO_00592
CL1501Contig1	HCGP-NN-CO_00593
CL1502Contig1	HCGP-NN-CO_00594
CL1503Contig1	HCGP-NN-CO_00595
CL1504Contig1	HCGP-NN-CO_00596
CL1505Contig1	HCGP-NN-CO_00597
CL1505Contig2	HCGP-NN-CO_00598
CL1506Contig1	HCGP-NN-CO_00599
CL1507Contig1	HCGP-NN-CO_00600
CL1508Contig1	HCGP-NN-CO_00601
CL1509Contig1	HCGP-NN-CO_00602
CL150Contig1	HCGP-NN-CO_00603
CL1510Contig1	HCGP-NN-CO_00604
CL1511Contig1	HCGP-NN-CO_00605
CL1512Contig1	HCGP-NN-CO_00606
