#TGICL_NAME	CONTIG_NAME
CL231Contig2	HCGP-CN-CO_00500
CL232Contig1	HCGP-CN-CO_00501
CL233Contig1	HCGP-CN-CO_00502
CL234Contig1	HCGP-CN-CO_00503
CL235Contig1	HCGP-CN-CO_00504
CL236Contig1	HCGP-CN-CO_00505
CL237Contig1	HCGP-CN-CO_00506
CL238Contig1	HCGP-CN-CO_00507
CL239Contig1	HCGP-CN-CO_00508
CL240Contig1	HCGP-CN-CO_00509
CL241Contig1	HCGP-CN-CO_00510
CL242Contig1	HCGP-CN-CO_00511
CL243Contig1	HCGP-CN-CO_00512
CL244Contig1	HCGP-CN-CO_00513
CL245Contig1	HCGP-CN-CO_00514
CL246Contig1	HCGP-CN-CO_00515
CL247Contig1	HCGP-CN-CO_00516
CL248Contig1	HCGP-CN-CO_00517
CL249Contig1	HCGP-CN-CO_00518
CL24Contig1	HCGP-CN-CO_00519
CL24Contig2	HCGP-CN-CO_00520
CL24Contig3	HCGP-CN-CO_00521
CL250Contig1	HCGP-CN-CO_00522
CL251Contig1	HCGP-CN-CO_00523
CL252Contig1	HCGP-CN-CO_00524
CL253Contig1	HCGP-CN-CO_00525
CL254Contig1	HCGP-CN-CO_00526
CL255Contig1	HCGP-CN-CO_00527
CL256Contig1	HCGP-CN-CO_00528
CL257Contig1	HCGP-CN-CO_00529
CL258Contig1	HCGP-CN-CO_00530
CL259Contig1	HCGP-CN-CO_00531
CL25Contig1	HCGP-CN-CO_00532
CL260Contig1	HCGP-CN-CO_00533
CL261Contig1	HCGP-CN-CO_00534
CL262Contig1	HCGP-CN-CO_00535
CL263Contig1	HCGP-CN-CO_00536
CL264Contig1	HCGP-CN-CO_00537
CL265Contig1	HCGP-CN-CO_00538
CL266Contig1	HCGP-CN-CO_00539
CL267Contig1	HCGP-CN-CO_00540
CL268Contig1	HCGP-CN-CO_00541
CL269Contig1	HCGP-CN-CO_00542
CL26Contig1	HCGP-CN-CO_00543
CL26Contig2	HCGP-CN-CO_00544
CL26Contig3	HCGP-CN-CO_00545
CL270Contig1	HCGP-CN-CO_00546
CL271Contig1	HCGP-CN-CO_00547
CL272Contig1	HCGP-CN-CO_00548
CL273Contig1	HCGP-CN-CO_00549
CL274Contig1	HCGP-CN-CO_00550
CL275Contig1	HCGP-CN-CO_00551
CL276Contig1	HCGP-CN-CO_00552
CL277Contig1	HCGP-CN-CO_00553
CL278Contig1	HCGP-CN-CO_00554
CL279Contig1	HCGP-CN-CO_00555
CL27Contig1	HCGP-CN-CO_00556
