#TGICL_NAME	CONTIG_NAME
CL1456Contig1	HCGP-NT-CO_00523
CL1457Contig1	HCGP-NT-CO_00524
CL1458Contig1	HCGP-NT-CO_00525
CL1459Contig1	HCGP-NT-CO_00526
CL145Contig1	HCGP-NT-CO_00527
CL1460Contig1	HCGP-NT-CO_00528
CL1461Contig1	HCGP-NT-CO_00529
CL1462Contig1	HCGP-NT-CO_00530
CL1463Contig1	HCGP-NT-CO_00531
CL1464Contig1	HCGP-NT-CO_00532
CL1465Contig1	HCGP-NT-CO_00533
CL1466Contig1	HCGP-NT-CO_00534
CL1467Contig1	HCGP-NT-CO_00535
CL1468Contig1	HCGP-NT-CO_00536
CL1469Contig1	HCGP-NT-CO_00537
CL146Contig1	HCGP-NT-CO_00538
CL1470Contig1	HCGP-NT-CO_00539
CL1471Contig1	HCGP-NT-CO_00540
CL1472Contig1	HCGP-NT-CO_00541
CL1473Contig1	HCGP-NT-CO_00542
CL1474Contig1	HCGP-NT-CO_00543
CL1475Contig1	HCGP-NT-CO_00544
CL1476Contig1	HCGP-NT-CO_00545
CL1477Contig1	HCGP-NT-CO_00546
CL1478Contig1	HCGP-NT-CO_00547
CL147Contig1	HCGP-NT-CO_00548
CL147Contig2	HCGP-NT-CO_00549
CL1480Contig1	HCGP-NT-CO_00550
CL1481Contig1	HCGP-NT-CO_00551
CL1482Contig1	HCGP-NT-CO_00552
CL1483Contig1	HCGP-NT-CO_00553
CL1484Contig1	HCGP-NT-CO_00554
CL1485Contig1	HCGP-NT-CO_00555
CL1486Contig1	HCGP-NT-CO_00556
CL1487Contig1	HCGP-NT-CO_00557
CL1488Contig1	HCGP-NT-CO_00558
CL1489Contig1	HCGP-NT-CO_00559
CL148Contig1	HCGP-NT-CO_00560
CL1490Contig1	HCGP-NT-CO_00561
CL1491Contig1	HCGP-NT-CO_00562
CL1492Contig1	HCGP-NT-CO_00563
CL1493Contig1	HCGP-NT-CO_00564
CL1494Contig1	HCGP-NT-CO_00565
CL1495Contig1	HCGP-NT-CO_00566
CL1496Contig1	HCGP-NT-CO_00567
CL1497Contig1	HCGP-NT-CO_00568
CL1498Contig1	HCGP-NT-CO_00569
CL1499Contig1	HCGP-NT-CO_00570
CL149Contig1	HCGP-NT-CO_00571
CL14Contig1	HCGP-NT-CO_00572
CL14Contig2	HCGP-NT-CO_00573
CL1500Contig1	HCGP-NT-CO_00574
CL1501Contig1	HCGP-NT-CO_00575
CL1502Contig1	HCGP-NT-CO_00576
CL1503Contig1	HCGP-NT-CO_00577
CL1504Contig1	HCGP-NT-CO_00578
CL1505Contig1	HCGP-NT-CO_00579
