#TGICL_NAME	CONTIG_NAME
CL1591Contig1	HCGP-ET-CO_00572
CL1592Contig1	HCGP-ET-CO_00573
CL1593Contig1	HCGP-ET-CO_00574
CL1594Contig1	HCGP-ET-CO_00575
CL1595Contig1	HCGP-ET-CO_00576
CL1597Contig1	HCGP-ET-CO_00577
CL1598Contig1	HCGP-ET-CO_00578
CL1599Contig1	HCGP-ET-CO_00579
CL159Contig1	HCGP-ET-CO_00580
CL159Contig2	HCGP-ET-CO_00581
CL15Contig1	HCGP-ET-CO_00582
CL15Contig2	HCGP-ET-CO_00583
CL1600Contig1	HCGP-ET-CO_00584
CL1601Contig1	HCGP-ET-CO_00585
CL1602Contig1	HCGP-ET-CO_00586
CL1604Contig1	HCGP-ET-CO_00587
CL1606Contig1	HCGP-ET-CO_00588
CL1607Contig1	HCGP-ET-CO_00589
CL1608Contig1	HCGP-ET-CO_00590
CL1609Contig1	HCGP-ET-CO_00591
CL160Contig1	HCGP-ET-CO_00592
CL1610Contig1	HCGP-ET-CO_00593
CL1611Contig1	HCGP-ET-CO_00594
CL1612Contig1	HCGP-ET-CO_00595
CL1613Contig1	HCGP-ET-CO_00596
CL1614Contig1	HCGP-ET-CO_00597
CL1615Contig1	HCGP-ET-CO_00598
CL1616Contig1	HCGP-ET-CO_00599
CL1617Contig1	HCGP-ET-CO_00600
CL1618Contig1	HCGP-ET-CO_00601
CL1619Contig1	HCGP-ET-CO_00602
CL161Contig1	HCGP-ET-CO_00603
CL161Contig2	HCGP-ET-CO_00604
CL1621Contig1	HCGP-ET-CO_00605
CL1622Contig1	HCGP-ET-CO_00606
CL1623Contig1	HCGP-ET-CO_00607
